train_number,train_name,source_station_code,destination_station_code
12143,Ltt Sultanpur Superfast Weekly Express,LTT,SLN
12144,Sultanpur-Ltt Weekly Sf Express,SLN,LTT
12148,Nizamuddin-Kolhapur Express,NZM,KOP
12161,Lashkar Superfast Express,LTT,AGC
12162,Lashkar Express,AGC,LTT
51817,Agra Fort Bandikui Pass,AF,BKI
12123,Deccan Queen Sf Express,CSTM,PUNE
12124,Deccan Queen Sf Express,PUNE,CSTM
12125,Pragati Superfast Express,CSTM,PUNE
12126,Pragati Superfast Express,PUNE,CSTM
12127,Mumbaicst-Pune Sf Intercity,CSTM,PUNE
12128,Pune-Mumbaicst Intercity Express,PUNE,CSTM
12129,Pune - Howrah Azad Hind Sf Exp,PUNE,HWH
12130,Howrah - Pune Azad Hind Sf Exp,HWH,PUNE
12131,Mumbai Dadar-Sainagar Shirdi Express,DR,SNSI
12132,Sainagar Shirdi-Mumbai Dadar Express,SNSI,DR
12133,Mumbai Cst - Mangalore Exp,CSTM,MAJN
12134,Mangalore - Mumbai Cst Exp,MAJN,CSTM
12141,Mumbai Ltt - Patliputra Sf Exp,LTT,PPTA
12145,Mumbai Ltt - Puri Sf Exp,LTT,PURI
12147,Kolhapur-Nizamuddin Express,KOP,NZM
12149,Pune - Patliputra Sf Exp,PUNE,PPTA
12150,Patliputra - Pune Sf Exp,PPTA,PUNE
12151,Mumbai Ltt - Howrah Samarsata Sf Exp,LTT,HWH
12152,Howrah - Mumbai Ltt Samarsata Sf Exp,HWH,LTT
12153,Lokmanya Tilak (T) Habibganj Express,LTT,HBJ
12154,Habibganj Ltt Superfast Express,HBJ,LTT
12155,Shaan-E-Bhopal Express,HBJ,NZM
12156,Shaan E Bhopal Sf Express,NZM,HBJ
12157,Hutatma Express,PUNE,SUR
12158,Hutatma Express,SUR,PUNE
12159,Amravati -Jabalpur Express,AMI,JBP
12160,Jabalpur - Amravati Express,JBP,AMI
12166,Varanasi - Mumbai Ltt Ratnagiri Sf Exp,BSB,LTT
12167,Mumbai Ltt - Varanasi Sf Exp,LTT,BSB
12168,Varanasi - Mumbai Ltt Sf Exp,BSB,LTT
12169,Pune Solapur Intercity Express,PUNE,SUR
12170,Solapur Pune Intercity Express,SUR,PUNE
12171,Mumbai Ltt -Haridwar Ac Express,LTT,HW
12172,Haridwar-Mumbai Ltt Ac Express,HW,LTT
12173,Udyog Nagri Express,LTT,PBH
12174,Udyog Nagri Express,PBH,LTT
12177,Chambal Express,HWH,MTJ
12178,Chambal Express,MTJ,HWH
12183,Bhopal Partapgarh Express,BPL,PBH
12184,Pratapgarh-Bhopal Express,PBH,BPL
12185,Bhopal Habibganj - Rewa Rewanchal Exp,HBJ,REWA
12186,Rewa - Bhopal Habibganj Rewanchal Exp,REWA,HBJ
12187,Jabalpur-Cst Garib Rath Express,JBP,CSTM
12188,Mumbai-Jabalpur Garib Rath Express,CSTM,JBP
